Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
35 - 44,Queensland,1901.0,Online shopping,In person,2770.0,1,1.07
35 - 44,Queensland,1901.0,Online shopping,Mobile apps,67.99,2,1.09
25 - 34,South Australia,1776.9,Other,Phone call,,1,2.34
45 - 54,Victoria,1882.0,Classified,Text message,,4,1.62
35 - 44,South Australia,1776.9,Other,Phone call,0.0,1,4.23
45 - 54,Tasmania,1710.8,Other,Email,,1,1.08
45 - 54,Victoria,1882.0,Classified,Phone call,,2,1.52
35 - 44,New South Wales,1935.7,False billing,Text message,,5,13.38
45 - 54,Queensland,1901.0,Dating and romance,Mobile apps,16408.43,3,3.87
45 - 54,South Australia,1776.9,Health and medical products,Text message,,1,1.0
65 and over,South Australia,1776.9,Investment,Phone call,429500.0,3,3.09
55 - 64,South Australia,1776.9,Phishing,Text message,,13,23.54
Under 18,New South Wales,1935.7,Identity theft,Text message,,2,1.33
55 - 64,Queensland,1901.0,Classified,Email,,5,3.81
45 - 54,Victoria,1882.0,False billing,Social media/Online forums,31.0,1,1.33
Under 18,Queensland,1901.0,Other,Phone call,,1,1.59
18 - 24,New South Wales,1935.7,Classified,Social media/Online forums,1500.0,3,3.96
65 and over,South Australia,1776.9,False billing,Email,358.0,36,24.19
65 and over,Victoria,1882.0,Hacking,Text message,,4,9.08
65 and over,Tasmania,1710.8,False billing,Text message,,4,2.37
25 - 34,Victoria,1882.0,Phishing,Text message,500.0,34,21.32
35 - 44,Victoria,1882.0,inheritance and unexpected money,Text message,,2,1.46
Under 18,Victoria,1882.0,Phishing,Email,,1,1.32
55 - 64,New South Wales,1935.7,Classified,Text message,,1,1.99
35 - 44,Queensland,1901.0,Phishing,Text message,,15,42.07
45 - 54,New South Wales,1935.7,Mobile premium services,Phone call,,1,2.35
Under 18,New South Wales,1935.7,Online shopping,Mobile apps,187.3,1,1.14
65 and over,Victoria,1882.0,Phishing,Internet,39.35,1,1.89
45 - 54,Queensland,1901.0,Classified,Internet,700.0,1,1.75
55 - 64,Queensland,1901.0,inheritance and unexpected money,Text message,,1,1.01
65 and over,Victoria,1882.0,Online shopping,Social media/Online forums,,1,1.63
18 - 24,Queensland,1901.0,"Travel, prizes and lottery",Text message,,1,1.04
35 - 44,Queensland,1901.0,Classified,Email,9820.0,1,1.17
55 - 64,Queensland,1901.0,Investment,Text message,0.0,1,1.55
65 and over,South Australia,1776.9,Classified,Phone call,,1,1.09
45 - 54,Queensland,1901.0,"Travel, prizes and lottery",Text message,,1,1.21
35 - 44,Victoria,1882.0,Online shopping,Email,,4,2.93
55 - 64,New South Wales,1935.7,Mobile premium services,Text message,,1,1.34
18 - 24,Victoria,1882.0,Classified,Email,11320.0,4,1.29
45 - 54,New South Wales,1935.7,Identity theft,Mail,,1,1.26
Under 18,Queensland,1901.0,False billing,Email,,1,1.63
65 and over,Western Australia,2094.3,Ransomware and malware,Email,,4,1.39
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Email,,1,4.14
45 - 54,Northern Territory,1845.8,Hacking,Email,0.0,1,1.25
35 - 44,Queensland,1901.0,Investment,Phone call,,1,1.61
18 - 24,Queensland,1901.0,Identity theft,Mail,,1,1.01
55 - 64,New South Wales,1935.7,Classified,Internet,500.0,1,1.13
25 - 34,Victoria,1882.0,False billing,Social media/Online forums,275.0,2,1.64
35 - 44,Tasmania,1710.8,Investment,Phone call,,1,1.14
65 and over,New South Wales,1935.7,Fake charity,Phone call,0.0,1,1.15
18 - 24,New South Wales,1935.7,Other,Email,,1,1.25
45 - 54,New South Wales,1935.7,Dating and romance,Internet,150.0,1,1.14
55 - 64,New South Wales,1935.7,Overpayment,Mobile apps,145.0,1,1.1
45 - 54,Western Australia,2094.3,Online shopping,Text message,,3,1.53
35 - 44,Northern Territory,1845.8,Other,Phone call,,1,1.1
65 and over,Victoria,1882.0,Remote access,Email,,1,4.79
65 and over,New South Wales,1935.7,Identity theft,Phone call,600000.0,5,10.41
55 - 64,Queensland,1901.0,Identity theft,Social media/Online forums,,1,1.01
65 and over,Tasmania,1710.8,False billing,Text message,,3,3.05
55 - 64,New South Wales,1935.7,Classified,Phone call,,1,1.6
18 - 24,South Australia,1776.9,Classified,Internet,8000.0,1,1.41
45 - 54,Western Australia,2094.3,Identity theft,Mail,,1,1.05
55 - 64,New South Wales,1935.7,Online shopping,Email,,3,4.73
25 - 34,Victoria,1882.0,Rebate,Phone call,0.0,1,1.91
55 - 64,South Australia,1776.9,Investment,Email,0.0,2,1.89
35 - 44,Queensland,1901.0,Remote access,Text message,700.0,3,2.45
35 - 44,New South Wales,1935.7,"Threats to life, arrest or other",Text message,,1,1.74
18 - 24,Victoria,1882.0,Identity theft,Social media/Online forums,,1,1.0
45 - 54,Victoria,1882.0,Other,Email,,2,2.07
35 - 44,Queensland,1901.0,Classified,Internet,117.51,1,1.74
55 - 64,New South Wales,1935.7,Overpayment,Email,,1,2.87
65 and over,Queensland,1901.0,Phishing,Mobile apps,3635.0,2,1.82
55 - 64,New South Wales,1935.7,Overpayment,Social media/Online forums,,1,1.74
65 and over,New South Wales,2126.5,Remote access,Phone call,0.0,1,2.0
35 - 44,New South Wales,1935.7,Fake charity,Text message,,1,1.2
65 and over,Western Australia,2094.3,Jobs and employment,Internet,,1,1.06
65 and over,Western Australia,2094.3,False billing,Mail,,2,1.05
25 - 34,Western Australia,2094.3,Online shopping,Email,5000.0,1,2.33
65 and over,Queensland,1901.0,Online shopping,Phone call,0.0,1,2.69
55 - 64,Victoria,1882.0,Rebate,Email,,1,2.51
55 - 64,Victoria,1882.0,Overpayment,In person,,1,1.06
35 - 44,Victoria,1882.0,Identity theft,Email,2526.6,2,4.69
18 - 24,South Australia,1776.9,Online shopping,Email,81.0,1,1.3
35 - 44,Queensland,1901.0,Other,In person,,1,1.18
65 and over,New South Wales,1935.7,Ransomware and malware,Email,,4,3.67
25 - 34,New South Wales,1935.7,Pyramid schemes,Internet,,1,1.0
65 and over,New South Wales,1935.7,Classified,Email,,7,14.08
25 - 34,Victoria,1882.0,Phishing,Phone call,16010.0,6,9.57
25 - 34,Western Australia,2094.3,Identity theft,Phone call,,1,1.95
55 - 64,New South Wales,1935.7,Identity theft,In person,2900.0,1,1.44
65 and over,Victoria,1882.0,Phishing,Phone call,11000.0,54,66.34
55 - 64,Western Australia,2094.3,False billing,Text message,,9,10.57
35 - 44,Queensland,1901.0,Betting and sports investment,Text message,0.0,1,1.21
35 - 44,New South Wales,2126.5,Phishing,Phone call,,1,2.34
25 - 34,New South Wales,1935.7,Other,Social media/Online forums,478.0,3,2.48
35 - 44,Queensland,1901.0,Hacking,Phone call,,2,2.23
55 - 64,Tasmania,1710.8,Health and medical products,Email,,1,1.01
18 - 24,Western Australia,2094.3,"Threats to life, arrest or other",Social media/Online forums,889.02,2,1.16
45 - 54,South Australia,1776.9,Phishing,Internet,,1,1.04
65 and over,New South Wales,1935.7,Identity theft,Internet,,2,2.0
55 - 64,Tasmania,1710.8,Health and medical products,Text message,,1,1.05
65 and over,Queensland,1901.0,Investment,Internet,14900.0,1,1.83
25 - 34,Northern Territory,1845.8,Online shopping,Social media/Online forums,1700.0,1,4.47
25 - 34,South Australia,1776.9,Other,Phone call,0.0,1,2.37
55 - 64,South Australia,1776.9,Investment,Social media/Online forums,0.0,1,1.24
65 and over,Northern Territory,1845.8,Identity theft,Email,0.0,1,1.35
25 - 34,Victoria,1882.0,Remote access,Phone call,,1,1.66
55 - 64,New South Wales,1935.7,Overpayment,Mobile apps,0.0,1,1.19
45 - 54,New South Wales,1935.7,Phishing,Email,49960.0,15,29.87
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Phone call,,1,1.49
18 - 24,Queensland,1901.0,Online shopping,Internet,286.38,2,2.72
65 and over,Northern Territory,1845.8,Jobs and employment,Text message,,1,1.01
65 and over,Western Australia,2094.3,Remote access,Text message,3000.0,1,5.18
18 - 24,Victoria,1882.0,Overpayment,Text message,,1,1.06
45 - 54,South Australia,1776.9,Online shopping,Mobile apps,350.0,1,1.07
65 and over,Western Australia,2094.3,False billing,Phone call,,1,1.71
55 - 64,Queensland,1901.0,Overpayment,Text message,,1,1.03
65 and over,Queensland,1901.0,inheritance and unexpected money,Email,,7,10.1
25 - 34,New South Wales,1935.7,Online shopping,Text message,472.21,5,5.17
65 and over,Queensland,1901.0,Phishing,Social media/Online forums,,1,1.63
35 - 44,New South Wales,1935.7,Health and medical products,Phone call,,1,1.1
18 - 24,South Australia,1776.9,Phishing,Text message,,1,1.84
45 - 54,Queensland,1901.0,False billing,Email,,9,6.32
55 - 64,New South Wales,1935.7,Overpayment,Social media/Online forums,,2,2.22
65 and over,Queensland,1901.0,Hacking,Email,,22,13.3
45 - 54,New South Wales,1935.7,Mobile premium services,Email,0.0,1,1.62
65 and over,New South Wales,1935.7,Phishing,Text message,,153,190.63
65 and over,Queensland,1901.0,Classified,Mobile apps,,1,1.52
18 - 24,Victoria,1882.0,Identity theft,Mobile apps,270.0,1,1.09
25 - 34,New South Wales,1935.7,Phishing,Phone call,16973.0,10,11.3
Under 18,Northern Territory,1845.8,Phishing,Text message,,1,1.09
65 and over,Western Australia,2094.3,Other,Text message,,5,4.36
55 - 64,New South Wales,1935.7,Other,Phone call,,18,14.61
45 - 54,New South Wales,1935.7,Hacking,Mobile apps,,3,1.05
45 - 54,Queensland,1901.0,Investment,Email,,1,1.39
35 - 44,Queensland,1901.0,Rebate,Text message,,1,1.58
45 - 54,Northern Territory,1845.8,"Travel, prizes and lottery",Phone call,0.0,1,1.18
65 and over,Western Australia,2094.3,Hacking,Email,771.5,13,7.43
45 - 54,South Australia,1776.9,Online shopping,Text message,,1,1.73
25 - 34,Tasmania,1710.8,Identity theft,Mail,,1,1.0
35 - 44,Queensland,1901.0,Other,In person,0.0,1,1.25
45 - 54,New South Wales,1935.7,Online shopping,Email,4421.9,3,5.93
45 - 54,New South Wales,2126.5,Phishing,Email,,2,2.81
45 - 54,Queensland,1901.0,Mobile premium services,Phone call,,1,1.57
25 - 34,South Australia,1776.9,Investment,Social media/Online forums,7000.0,1,1.71
18 - 24,Western Australia,2094.3,Other,Social media/Online forums,,1,1.8
55 - 64,South Australia,1776.9,Remote access,Email,,1,1.47
55 - 64,Queensland,1901.0,False billing,Email,23754.84,19,22.72
18 - 24,Victoria,1882.0,Phishing,Text message,,4,4.85
35 - 44,New South Wales,1935.7,Identity theft,Text message,344.5,5,5.26
45 - 54,Queensland,1901.0,Classified,Phone call,,1,2.33
35 - 44,Tasmania,1710.8,Rebate,Text message,,1,1.03
55 - 64,Tasmania,1710.8,Investment,Phone call,,1,1.1
55 - 64,New South Wales,1935.7,Phishing,Email,137.58,91,70.07
35 - 44,New South Wales,1935.7,Classified,Phone call,,1,1.62
65 and over,Western Australia,2094.3,Hacking,Email,,7,12.1
45 - 54,New South Wales,1935.7,Jobs and employment,Mobile apps,0.0,1,1.44
35 - 44,Northern Territory,1845.8,Identity theft,Text message,,1,1.62
45 - 54,Victoria,1882.0,Hacking,Phone call,,4,3.55
65 and over,Queensland,1901.0,Dating and romance,Internet,0.0,1,1.2
65 and over,Queensland,1901.0,Phishing,Internet,,1,1.57
35 - 44,New South Wales,2126.5,Phishing,In person,,1,1.0
45 - 54,Western Australia,2094.3,Online shopping,Internet,222.91,2,2.2
55 - 64,New South Wales,1935.7,Other,Phone call,,14,9.79
55 - 64,Victoria,1882.0,Identity theft,Text message,,9,8.98
45 - 54,Tasmania,1710.8,Phishing,Phone call,0.0,4,2.9
25 - 34,Queensland,1901.0,Online shopping,Phone call,,1,2.37
25 - 34,New South Wales,1935.7,Online shopping,Internet,242.98,3,3.17
18 - 24,Western Australia,2094.3,Online shopping,Text message,400.0,1,1.44
25 - 34,Queensland,1901.0,Overpayment,Social media/Online forums,109.98,1,1.13
65 and over,Victoria,1882.0,Classified,Social media/Online forums,350.0,1,1.38
25 - 34,South Australia,1776.9,Health and medical products,Text message,,1,1.17
55 - 64,South Australia,1776.9,Online shopping,Text message,,1,1.31
45 - 54,Queensland,1901.0,Other,Email,,1,3.22
25 - 34,Queensland,1901.0,Hacking,Internet,0.0,1,1.3
45 - 54,New South Wales,1935.7,Ransomware and malware,Email,1048.0,2,1.75
45 - 54,Victoria,1882.0,"Threats to life, arrest or other",Email,,3,1.35
35 - 44,Victoria,1882.0,Online shopping,Social media/Online forums,859.89,8,6.94
25 - 34,Western Australia,2094.3,Identity theft,Mail,0.0,1,1.32
55 - 64,Victoria,1882.0,Classified,Social media/Online forums,2270.0,6,4.82
Under 18,Victoria,1882.0,Other,Social media/Online forums,340.0,1,1.16
45 - 54,Queensland,1901.0,Identity theft,Email,,9,4.03
45 - 54,Western Australia,2094.3,Investment,Mobile apps,,2,1.04
55 - 64,New South Wales,2126.5,Rebate,Text message,,2,1.51
55 - 64,Victoria,1882.0,Identity theft,Phone call,,4,4.15
25 - 34,Queensland,1901.0,Online shopping,Internet,476.9,4,3.78
55 - 64,Queensland,1901.0,Phishing,Social media/Online forums,800.0,1,1.72
35 - 44,Western Australia,2094.3,Online shopping,Text message,660.0,1,2.44
18 - 24,New South Wales,1935.7,Other,Text message,,2,3.03
25 - 34,South Australia,1776.9,Betting and sports investment,Internet,1000.0,1,1.38
65 and over,Western Australia,2094.3,Phishing,Email,,61,60.31
35 - 44,Queensland,1901.0,Health and medical products,Social media/Online forums,135.0,1,1.01
18 - 24,Victoria,1882.0,Classified,Text message,8883.04,1,1.34
45 - 54,Victoria,1882.0,Online shopping,Internet,1501.2,11,4.68
45 - 54,Victoria,1882.0,inheritance and unexpected money,Text message,,1,1.1
55 - 64,New South Wales,1935.7,Remote access,Email,,4,1.67
65 and over,Victoria,1882.0,Identity theft,Text message,,20,19.11
45 - 54,Victoria,1882.0,Rebate,Phone call,,3,1.28
65 and over,Western Australia,2094.3,Remote access,Phone call,41700.0,4,5.01
25 - 34,Western Australia,2094.3,Jobs and employment,Phone call,324.5,1,1.16
65 and over,Tasmania,1710.8,False billing,Text message,,1,3.05
25 - 34,Victoria,1882.0,Classified,Mail,,2,1.0
25 - 34,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0.0,5,2.7
Under 18,Victoria,1882.0,Online shopping,Mobile apps,0.0,1,1.05
35 - 44,Queensland,1901.0,"Threats to life, arrest or other",Email,,1,1.39
65 and over,Tasmania,1710.8,Phishing,Phone call,,5,3.13
45 - 54,Victoria,1882.0,Classified,Email,0.0,1,2.16
18 - 24,Victoria,1882.0,Other,Social media/Online forums,,1,1.02
35 - 44,Victoria,1882.0,Health and medical products,Internet,,1,1.0
35 - 44,Queensland,1901.0,Hacking,Phone call,0.0,1,2.27
25 - 34,Victoria,1882.0,Rebate,Phone call,,1,1.72
45 - 54,Victoria,1882.0,"Travel, prizes and lottery",Email,,2,1.02
45 - 54,New South Wales,2126.5,Online shopping,Internet,46.0,2,1.28
55 - 64,Victoria,1882.0,Rebate,Email,,2,2.41
25 - 34,New South Wales,2126.5,Identity theft,Phone call,,1,1.03
35 - 44,South Australia,1776.9,"Threats to life, arrest or other",Email,,1,1.92
25 - 34,Queensland,1901.0,Remote access,Email,,1,1.32
35 - 44,Victoria,1882.0,Online shopping,Email,14894.16,4,5.33
18 - 24,South Australia,1776.9,Classified,Text message,20.0,1,1.38
45 - 54,South Australia,1776.9,Phishing,Text message,,23,14.57
55 - 64,Victoria,1882.0,False billing,Email,,21,19.24
65 and over,New South Wales,1935.7,False billing,Text message,0.0,9,35.32
35 - 44,New South Wales,1935.7,Hacking,Social media/Online forums,0.0,4,3.24
35 - 44,Victoria,1882.0,Hacking,Email,,1,2.18
35 - 44,New South Wales,1935.7,Dating and romance,Social media/Online forums,,3,1.77
55 - 64,South Australia,1776.9,Remote access,Social media/Online forums,,1,1.89
65 and over,Queensland,1901.0,False billing,Mobile apps,,1,1.23
45 - 54,Queensland,1901.0,Classified,Mobile apps,4360.0,1,1.51
65 and over,Western Australia,2094.3,Phishing,Text message,27449.78,27,58.91
35 - 44,Victoria,1882.0,Remote access,Email,735.0,2,1.88
18 - 24,Queensland,1901.0,Hacking,Social media/Online forums,,1,1.13
45 - 54,New South Wales,1935.7,Other,Phone call,,13,9.92
25 - 34,New South Wales,1935.7,inheritance and unexpected money,Text message,0.0,1,1.69
45 - 54,South Australia,1776.9,Online shopping,Internet,160.0,2,1.52
65 and over,Tasmania,1710.8,Classified,Email,,2,1.33
55 - 64,Queensland,1901.0,Overpayment,Email,,1,1.61
18 - 24,South Australia,1776.9,Online shopping,Phone call,,1,1.03
25 - 34,Tasmania,1710.8,Online shopping,Phone call,,1,1.02
45 - 54,Victoria,1882.0,Identity theft,Internet,,1,1.26
55 - 64,New South Wales,1935.7,Classified,Phone call,,2,1.29
45 - 54,South Australia,1776.9,Rebate,Email,,1,5.8
45 - 54,Queensland,1901.0,Classified,Internet,45.99,2,1.33
45 - 54,Queensland,1901.0,Identity theft,Social media/Online forums,0.0,1,1.33
Under 18,New South Wales,1935.7,Phishing,Text message,,1,1.24
25 - 34,Western Australia,2094.3,False billing,Social media/Online forums,465.0,1,1.8
45 - 54,New South Wales,1935.7,Identity theft,Email,,4,4.33
35 - 44,South Australia,1776.9,Online shopping,Social media/Online forums,,1,1.56
55 - 64,Queensland,1901.0,Online shopping,Email,0.0,3,2.6
18 - 24,Western Australia,2094.3,Classified,Email,732.29,1,1.41
55 - 64,Queensland,1901.0,"Threats to life, arrest or other",Email,,7,3.55
25 - 34,South Australia,1776.9,Fake charity,In person,50.0,1,1.03
25 - 34,South Australia,1776.9,Hacking,Email,,3,1.76
65 and over,Victoria,1882.0,Rebate,Phone call,,1,1.01
55 - 64,New South Wales,1935.7,Identity theft,Social media/Online forums,,1,1.19
25 - 34,New South Wales,1935.7,Classified,In person,850.0,1,1.28
25 - 34,New South Wales,1935.7,Phishing,Phone call,0.0,5,9.69
25 - 34,Queensland,1901.0,Dating and romance,Social media/Online forums,5500.0,1,2.13
65 and over,Queensland,1901.0,Investment,Mobile apps,4000.0,1,1.66
35 - 44,Queensland,1901.0,Hacking,Mobile apps,,1,1.34
65 and over,New South Wales,1935.7,Online shopping,Internet,510.0,2,5.69
18 - 24,Victoria,1882.0,Other,Text message,,5,1.57
65 and over,South Australia,1776.9,Remote access,Phone call,14400.0,5,4.24
45 - 54,South Australia,1776.9,Online shopping,Phone call,0.0,1,1.55
Under 18,New South Wales,1935.7,Online shopping,Social media/Online forums,800.0,1,3.48
18 - 24,Victoria,1882.0,Overpayment,Mobile apps,3235.0,1,1.23
45 - 54,Victoria,1882.0,Classified,Text message,0.0,1,1.57
35 - 44,Victoria,1882.0,Rebate,Text message,,1,1.65
55 - 64,Victoria,1882.0,Hacking,Text message,,1,2.05
18 - 24,Western Australia,2094.3,"Threats to life, arrest or other",Email,,2,1.01
25 - 34,Queensland,1901.0,Identity theft,Text message,,2,3.63
45 - 54,Tasmania,1710.8,Phishing,Email,0.0,8,2.62
55 - 64,Queensland,1901.0,Health and medical products,Email,,1,1.21
35 - 44,New South Wales,1935.7,Rebate,Phone call,0.0,4,1.93
25 - 34,South Australia,1776.9,Fake charity,Phone call,,1,1.01
35 - 44,Western Australia,2094.3,Phishing,Phone call,,3,5.44
55 - 64,New South Wales,1935.7,Hacking,Text message,,7,5.16
45 - 54,Queensland,1901.0,Dating and romance,Social media/Online forums,,1,1.05
65 and over,Victoria,1882.0,Online shopping,Text message,,1,2.63
18 - 24,Queensland,1901.0,Online shopping,Social media/Online forums,,3,4.68
