Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
35 - 44,New South Wales,1935.7,Investment,In person,0,3,1.18
65 and over,Victoria,1882,Other,Email,0,10,12.5
55 - 64,South Australia,1776.9,Ransomware and malware,Email,0,1,1.21
55 - 64,New South Wales,1935.7,Other,Email,0,6,8.78
35 - 44,South Australia,1776.9,Classified,Mobile apps,300,1,0.9
45 - 54,Victoria,1882,Online shopping,Social media/Online forums,0,1,2.96
65 and over,New South Wales,1935.7,Hacking,Phone call,0,7,5.07
45 - 54,South Australia,1776.9,Other,Text message,0,4,4.1
55 - 64,New South Wales,2126.5,False billing,Text message,0,2,4.45
45 - 54,Victoria,1882,Health and medical products,Text message,0,3,2.48
35 - 44,Queensland,1901,Rebate,Text message,0,1,1.93
25 - 34,Queensland,1901,Rebate,Text message,0,2,1.53
65 and over,Victoria,1882,Online shopping,Social media/Online forums,0,3,5.35
55 - 64,Queensland,1901,Phishing,Phone call,0,9,13.4
35 - 44,Western Australia,2094.3,Hacking,Email,0,2,1.4
55 - 64,New South Wales,1935.7,Jobs and employment,Email,0,2,3.51
35 - 44,Victoria,1882,Remote access,Text message,0,2,2.54
65 and over,New South Wales,1935.7,Phishing,Internet,0,2,17.41
25 - 34,Tasmania,1710.8,False billing,Email,0,1,2.32
45 - 54,New South Wales,2126.5,Ransomware and malware,Email,0,1,0
35 - 44,South Australia,1776.9,Identity theft,Internet,1377,1,1.53
55 - 64,South Australia,1776.9,Investment,Phone call,1200,2,1.63
45 - 54,Tasmania,1710.8,Jobs and employment,Social media/Online forums,0,1,0
35 - 44,South Australia,1776.9,"Travel, prizes and lottery",Email,0,1,0.22
35 - 44,Victoria,1882,Online shopping,Mail,0,1,1.69
25 - 34,Western Australia,2094.3,Health and medical products,Phone call,0,1,0.56
65 and over,Queensland,1901,False billing,Text message,0,18,12.11
55 - 64,New South Wales,1935.7,Classified,Phone call,0,1,3.58
65 and over,Queensland,1901,Classified,Social media/Online forums,0,2,2.83
25 - 34,New South Wales,1935.7,Other,Email,0,2,5.27
25 - 34,New South Wales,1935.7,Pyramid schemes,Text message,0,1,1.7
35 - 44,Queensland,1901,Online shopping,Social media/Online forums,220,5,2.49
45 - 54,Victoria,1882,Investment,Phone call,12000,4,2.83
55 - 64,New South Wales,1935.7,Other,Text message,0,15,9.34
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,1300,3,2.3
45 - 54,New South Wales,1935.7,Phishing,Phone call,0,18,16.73
45 - 54,Queensland,1901,Rebate,In person,20000,1,1.93
35 - 44,New South Wales,1935.7,Investment,Text message,0,1,2.46
35 - 44,New South Wales,1935.7,Online shopping,Email,932.73,5,7.02
65 and over,New South Wales,2126.5,Fake charity,In person,0,1,0
18 - 24,New South Wales,1935.7,Hacking,Social media/Online forums,0,1,1.7
65 and over,Western Australia,2094.3,Dating and romance,Social media/Online forums,0,1,0.79
55 - 64,New South Wales,2126.5,Phishing,Text message,0,2,18.93
18 - 24,Western Australia,2094.3,Identity theft,Internet,0,1,0.41
65 and over,New South Wales,2126.5,"Threats to life, arrest or other",Email,0,1,1.97
65 and over,Western Australia,2094.3,Health and medical products,Text message,0,1,2.16
25 - 34,New South Wales,1935.7,Identity theft,Phone call,700,10,4.23
45 - 54,Queensland,1901,Jobs and employment,Social media/Online forums,0,1,1.09
35 - 44,Queensland,1901,False billing,Phone call,0,4,3.73
55 - 64,Victoria,1882,Remote access,Phone call,0,1,2.64
55 - 64,Tasmania,1710.8,False billing,Email,0,2,4.8
35 - 44,Queensland,1901,Online shopping,Internet,1262.73,12,3.01
Under 18,New South Wales,1935.7,False billing,Email,0,1,6.23
Under 18,New South Wales,1935.7,inheritance and unexpected money,Phone call,0,1,0.29
45 - 54,Victoria,1882,Jobs and employment,Email,0,1,2.21
35 - 44,Western Australia,2094.3,Other,Email,0,3,3.85
18 - 24,Victoria,1882,Remote access,Email,0,1,1.4
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Text message,0,1,2.71
25 - 34,Queensland,1901,Mobile premium services,Text message,0,1,1.44
35 - 44,New South Wales,2126.5,False billing,Phone call,0,1,2.36
45 - 54,Western Australia,2094.3,Ransomware and malware,Email,0,1,0.84
